key-WORD,Note,EN
scanning_db_files,Local-import scan progress,Scanning DB files
scan_result,Local-import scan result heading,Scan Result
missing,Local-import file status,Missing
import,Local-import action,Import
importing_progress,Local-import progress label; show the percentage separately,Importing
import_failed,Local-import error prefix; append the error details,Import failed
dashboard_subtitle,Dashboard subtitle,Overview of backup status and connected databases
backup_directory_not_configured,Dashboard warning,Backup directory not configured. DB stats cannot be loaded.
go_to_settings,Dashboard warning action,Go to Settings
mac_address,Controller card label; append the MAC address,MAC
refreshed,Manual refresh cooldown state,Refreshed
connected,Controller card and system tray connection state,Connected
disconnected,Controller card and system tray connection state,Disconnected
database_status,Dashboard database card title,Database Status
table_database,Database/recovery/log table and CSV export heading,DATABASE
table_description,Dashboard table column heading,DESCRIPTION
table_last_backup,Dashboard table column heading,LAST BACKUP
table_status,Dashboard table column heading,STATUS
db_desc_history_event,Dashboard database description and recovery progress name,History event
db_desc_meter_data,Dashboard database description and recovery progress name,Meter data
db_desc_trend_data,Dashboard database description and recovery progress name,Trend data
db_desc_ppd_data,Dashboard database description and recovery progress name; keep PPD unchanged,PPD data
not_found,Dashboard database status,Not found
delayed,Dashboard database status,Delayed
not_synced,Dashboard database status,Not synced
scheduled_to_sync,Dashboard database status,Scheduled to sync
synced,Dashboard database status,Synced
realtime_backup,Dashboard card title,Real-time Backup
no_events_yet,Real-time backup empty state,No events yet
duration_seconds,Compact second unit appended directly after the number,s
duration_hours,Compact recovery hour unit appended directly after the number,h
duration_minutes,Compact recovery minute unit appended directly after the number,m
duration_days_short,Compact day unit appended directly after the number,d
ago,Relative-time word placed after the number and compact unit,ago
active,Real-time backup state,Active
waiting_for_connection,Real-time backup state,Waiting for connection
appending_new_records,Real-time backup activity,Appending new records
last_event,Real-time backup label; append the relative time,Last event
recovery_subtitle,Recovery page subtitle,Detect and recover missing record periods from the controller
scanning,Recovery scan action in progress,Scanning
scan_for_gaps,Recovery scan action,Scan for Gaps
table_missing_record_period,Recovery table column heading,MISSING RECORD PERIOD
tonight,Recovery schedule relative date,Tonight
recovering_missing_data,Recovery progress heading,Recovering missing data
no_missing_data_detected,Recovery empty-state heading,No missing data detected
no_gaps_found,Recovery empty-state heading,No gaps found
all_databases_up_to_date,Recovery healthy-state message,All databases are up to date. Real-time backup is active.
scan_for_gaps_instruction,Recovery empty-state instruction,"Press ""Scan for Gaps"" to check for missing records."
preparing_recovery,Recovery progress step,Preparing recovery
fetching_from_controller,Recovery progress step; show the database name separately,Fetching from controller
gap_progress,Recovery progress label shown before current and total numbers,gap
writing_to_database,Recovery progress step; show the database name separately,Writing to database
finalising,Recovery progress step,Finalising
backup_log_subtitle,Backup Log page subtitle,Full history of all backup and recovery events
filter_type,Backup Log filter and CSV export heading,TYPE
all,Backup Log filter option,All
realtime,Backup Log type,Real-time
filter_result,Backup Log filter and CSV export heading,RESULT
success,Backup Log result,Success
fail,Backup Log result,Fail
export_json,Backup Log export action,Export JSON
export_csv,Backup Log export action,Export CSV
log_backed_up_at,Backup Log table and CSV export heading,BACKED UP AT
log_record_time,Backup Log table and CSV export heading,RECORD TIME
no_log_entries,Backup Log empty state,No log entries yet
load_more,Backup Log pagination action,Load More
settings_subtitle,Settings page subtitle,Configure backup preferences and connection
backup_storage_path,Settings item title,Backup Storage Path
not_configured_browse,Settings backup-path empty state,Not configured. Tap Browse to set.
browse,Settings backup-path action,Browse
set_backup_folder_hint,Settings backup-path warning,Set your backup folder to enable dashboard DB stats.
display_language_description,Settings language description,Display language for all UI text
dark_mode_description,Settings theme description,Switch between light and dark appearance
launch_on_windows_startup,Settings item title,Launch on Windows Startup
launch_startup_description,Settings startup description,Start the app automatically when Windows boots
auto_login_on_startup,Settings item title,Auto-login on Startup
auto_login_description,Settings auto-login description,Connect to last-used controller automatically
recovery_mode,Settings item title,Recovery Mode
recovery_mode_description,Settings recovery-mode description,"Fill missing data immediately on reconnect, or at a scheduled time"
immediate,Settings recovery-mode option,Immediate
scheduled,Settings recovery-mode option and Recovery table heading,Scheduled
recovery_schedule_time,Settings item title and time-picker heading,Recovery Schedule Time
immediate_mode_active,Settings recovery-schedule disabled state,Not used - immediate mode is active
recovery_schedule_description,Settings recovery-schedule description,Daily time to merge gap recovery data into backup
select_backup_folder,Native folder-picker confirmation action,Select Backup Folder
